year,consumption,income,wealth,interest,lnconsump,lndpi,lnwealth,dlnconsump,dlndpi,dlnwealth,dinterest,rlnconsump,rlndpi,rlnwealth,rinterest,dconsump,dincome,dwealth,rconsump,rincome,rwealth,rinterest2,time
21916,976.400024414063,1035.19995117188,5166.81494140625,-10.3509397506714,6.88387250900269,6.94234991073608,8.55001163482666,,,,,,,,,,,,,,,,1
21916,998.099975585938,1090,5280.7568359375,-4.71980381011963,6.90585327148438,6.99393320083618,8.57182502746582,0.0219807624816895,0.0515832901000977,0.0218133926391602,5.63113594055176,4.67086172103882,4.73995590209961,5.7958869934082,-1.3591570854187,21.699951171875,54.800048828125,113.94189453125,704.356018066406,778.56640625,3726.35205078125,-1.60578680038452,2
21916,1025.30004882813,1095.59997558594,5607.35107421875,1.04406297206879,6.93274068832397,6.99905729293823,8.63183403015137,0.0268874168395996,0.00512409210205078,0.0600090026855469,5.76386690139771,4.69061231613159,4.72833204269409,5.84881353378296,2.57644486427307,27.2000732421875,5.5999755859375,326.59423828125,725.027770996094,767.680114746094,4018.66772460938,2.46398711204529,3
21916,1090.90002441406,1192.69995117188,5759.51513671875,0.40734601020813,6.99475812911987,7.08397483825684,8.65860843658447,0.0620174407958984,0.0849175453186035,0.0267744064331055,-0.636716961860657,4.74390029907227,4.81158590316772,5.85610485076904,0.0683693662285805,65.5999755859375,97.0999755859375,152.1640625,782.444763183594,863.095397949219,4072.57788085937,0.0932460427284241,4
21916,1107.09997558594,1227,6086.05615234375,-5.28315210342407,7.00949907302856,7.11232757568359,8.71375560760498,0.0147409439086914,0.0283527374267578,0.0551471710205078,-5.69049835205078,4.73850631713867,4.81236839294434,5.90255928039551,-5.4154052734375,16.199951171875,34.300048828125,326.541015625,778.909362792969,868.183532714844,4353.34130859375,-5.40569972991943,5
21916,1142.40002441406,1266.80004882813,6243.86376953125,-0.277011007070541,7.04088640213013,7.1442494392395,8.73935413360596,0.0313873291015625,0.0319218635559082,0.0255985260009766,5.0061411857605,4.76510763168335,4.83508491516113,5.91025304794312,1.43827366828918,35.300048828125,39.800048828125,157.8076171875,809.335754394531,897.664611816406,4412.9111328125,1.31239306926727,6
21916,1197.19995117188,1327.5,6355.61279296875,0.561137020587921,7.08774089813232,7.19105291366577,8.75709342956543,0.0468544960021973,0.0468034744262695,0.0177392959594727,0.83814799785614,4.80177164077759,4.87152433395386,5.91968107223511,0.651074349880219,54.7999267578125,60.699951171875,111.7490234375,853.515869140625,946.390930175781,4477.1845703125,0.64447408914566,7
21916,1221.90002441406,1344,6797.02685546875,-0.138475999236107,7.10816240310669,7.20340538024902,8.82424068450928,0.0204215049743652,0.012352466583252,0.0671472549438477,-0.699613034725189,4.8069806098938,4.86868143081665,5.98106908798218,-0.3206607401371,24.7000732421875,16.5,441.4140625,861.729736328125,944.629760742188,4884.9794921875,-0.307290643453598,8
21916,1310.40002441406,1433.80004882813,7172.2421875,0.261997014284134,7.17808771133423,7.2680835723877,8.87797355651856,0.0699253082275391,0.0646781921386719,0.0537328720092773,0.40047299861908,4.87027549743652,4.92934894561768,6.01300144195557,0.306956112384796,88.5,89.800048828125,375.21533203125,942.798889160156,1029.4658203125,5127.3984375,0.303656667470932,9
21916,1348.80004882813,1502.30004882813,7375.18017578125,-0.736123979091644,7.20697069168091,7.31475257873535,8.90587520599365,0.0288829803466797,0.0466690063476563,0.0279016494750977,-0.998121023178101,4.87645578384399,4.95501899719238,6.02345752716064,-0.821186721324921,38.4000244140625,68.5,202.93798828125,954.57421875,1070.95007324219,5217.455078125,-0.814944207668304,10
21916,1381.80004882813,1539.5,7315.2861328125,-0.260683000087738,7.23114252090454,7.3392128944397,8.89772129058838,0.0241718292236328,0.0244603157043457,-0.00815391540527344,0.475440979003906,4.89125061035156,4.96432733535767,6.00624465942383,-0.0216851215809584,33,37.199951171875,-59.89404296875,976.021789550781,1087.54223632813,5096.50830078125,-0.039224598556757,11
